Name,Review Date,Airline,Verified,Type of Traveller,Month Flown,Route,Class,Seat Comfort,Staff Service,Food & Beverages,Inflight Entertainment,Value For Money,Overall Rating,Recommended
J Pang,9/24/2017,Cathay Pacific Airways,FALSE,Business,17-Sep,New York to Singapore via Hong Kong,Economy Class,4,5,3,5,3,3,no
Donald Stuart,9/21/2017,Cathay Pacific Airways,FALSE,Couple Leisure,17-Aug,Auckland to London via Hong Kong,Business Class,1,5,3,5,5,8,yes
S Howard,9/16/2017,Cathay Pacific Airways,TRUE,Solo Leisure,17-Jul,Manila to Gatwick via Hong Kong,Business Class,4,3,2,4,5,9,yes
K Lang,9/14/2017,Cathay Pacific Airways,TRUE,Solo Leisure,17-Sep,Los Angeles to Denpasar via Hong Kong,Economy Class,5,3,1,1,4,8,yes
Sam Chung,9/6/2017,Cathay Pacific Airways,FALSE,Couple Leisure,17-Jun,Hong Kong to Bangkok,Business Class,4,4,1,2,5,10,yes
L Keen,9/4/2017,Cathay Pacific Airways,TRUE,Family Leisure,17-Aug,Melbourne to Hong Kong,Economy Class,5,2,5,4,1,1,no
W Pearce,9/1/2017,Cathay Pacific Airways,FALSE,Solo Leisure,17-Jul,Vancouver to Bangkok via Hong Kong,Economy Class,5,2,3,2,5,8,yes
A Wharton,8/31/2017,Cathay Pacific Airways,TRUE,Business,17-May,Johannesburg to Tokyo via Hong Kong,Premium Economy,5,4,2,4,4,7,yes
S Zhang,8/26/2017,Cathay Pacific Airways,FALSE,Solo Leisure,17-Aug,Hong Kong to Toronto,Economy Class,4,2,2,5,4,9,yes
S Howard,8/21/2017,Cathay Pacific Airways,TRUE,Solo Leisure,17-Jul,Gatwick to Manila via Hong Kong,Business Class,1,4,4,5,5,10,yes
Michel Perrin,8/20/2017,Cathay Pacific Airways,TRUE,Couple Leisure,17-Aug,Paris CDG to Kansai via Hong Kong,Business Class,4,5,4,5,4,9,yes
P Thomson,8/15/2017,Cathay Pacific Airways,FALSE,Couple Leisure,17-Aug,Hong Kong to London,Premium Economy,3,5,5,5,2,4,no
H Shandak,8/11/2017,Cathay Pacific Airways,FALSE,Business,17-May,Mumbai to San Francisco via Hong Kong,Economy Class,4,4,5,4,4,8,yes
S Chan,8/11/2017,Cathay Pacific Airways,TRUE,Family Leisure,17-Aug,Kuala Lumpur to Vancouver via Hong Kong,Economy Class,5,5,4,4,1,1,no
Arrafi Daffa,8/10/2017,Cathay Pacific Airways,FALSE,Family Leisure,17-Jul,Jakarta to Tokyo Haneda via Hong Kong,Economy Class,3,5,5,4,4,8,yes
Mark Taylor,8/9/2017,Cathay Pacific Airways,FALSE,Business,17-Aug,Singapore to Bangkok,Business Class,2,2,4,5,5,10,yes
D Samonte,8/6/2017,Cathay Pacific Airways,TRUE,Solo Leisure,17-Jul,Melbourne to Manila via Hong Kong,Economy Class,1,3,4,4,5,8,yes
W Davidson,8/4/2017,Cathay Pacific Airways,FALSE,Couple Leisure,17-Jul,Zurich to Bangkok via Hong Kong,Economy Class,5,2,4,5,2,5,no
M Neave,8/2/2017,Cathay Pacific Airways,FALSE,Solo Leisure,17-Jul,Bangkok to Singapore,Business Class,5,2,3,5,5,10,yes
Joaquin Padilla,7/31/2017,Cathay Pacific Airways,FALSE,Family Leisure,17-Jul,Hong Kong to Manila,Economy Class,5,4,3,4,5,10,yes
T Rolleston,7/28/2017,Cathay Pacific Airways,TRUE,Family Leisure,17-Jul,Hong Kong to London,First Class,5,5,1,3,4,4,no
E Tandali,7/27/2017,Cathay Pacific Airways,TRUE,Business,17-Jul,Hong Kong to Seoul,Economy Class,2,2,5,4,2,5,no
K Desouza,7/26/2017,Cathay Pacific Airways,FALSE,Couple Leisure,17-Apr,Melbourne to Colombo via Hong Kong,Economy Class,3,2,4,5,2,5,no
K Matsuyo,7/23/2017,Cathay Pacific Airways,TRUE,Business,17-Jul,Hong Kong to London,Business Class,2,5,4,5,3,4,no
S Kan,7/22/2017,Cathay Pacific Airways,TRUE,Solo Leisure,17-Jul,Singapore to Bangkok,Economy Class,1,5,1,5,5,6,yes
J Teck,7/22/2017,Cathay Pacific Airways,FALSE,Solo Leisure,17-Jul,Singapore to Bangkok,Economy Class,5,5,1,4,5,8,yes
W Cheung,7/20/2017,Cathay Pacific Airways,TRUE,Couple Leisure,17-Jul,Sydney to Hong kong,Economy Class,5,5,5,5,2,2,no
G Anderson,7/12/2017,Cathay Pacific Airways,TRUE,Couple Leisure,17-Jul,Los Angeles to Singapore via Hong Kong,Economy Class,4,4,4,5,3,6,yes
C Robins,7/12/2017,Cathay Pacific Airways,FALSE,Solo Leisure,17-Jul,Hong Kong to Los Angeles,Economy Class,2,4,2,4,4,7,no
C Robins,7/12/2017,Cathay Pacific Airways,TRUE,Solo Leisure,17-Jul,Manila to Hong Kong,Economy Class,5,5,4,4,5,10,yes
Michael Mejia,7/10/2017,Cathay Pacific Airways,TRUE,Family Leisure,17-Jul,Manila to Newark via Hong Kong,Business Class,4,4,5,1,3,8,yes
Schaeffer Cilocilo,7/10/2017,Cathay Pacific Airways,TRUE,Family Leisure,17-May,Hong Kong to Cebu,Economy Class,5,4,5,4,5,8,yes
S Sigurdursson,7/9/2017,Cathay Pacific Airways,TRUE,Couple Leisure,17-Jun,London to Manila via Hong Kong,Economy Class,5,4,4,4,5,10,yes
M Rankin,7/8/2017,Cathay Pacific Airways,TRUE,Business,17-May,Hong Kong to Singapore,Business Class,4,3,5,5,3,5,no
Valerie McClure,7/8/2017,Cathay Pacific Airways,FALSE,Couple Leisure,17-Jul,Auckland to London via Hong Kong,Premium Economy,4,4,4,4,2,3,no
Irman Mohamed Salleh,7/6/2017,Cathay Pacific Airways,FALSE,Couple Leisure,17-Jul,Bangkok to Singapore,Economy Class,5,1,4,4,3,4,no
K Parling,7/6/2017,Cathay Pacific Airways,TRUE,Solo Leisure,17-Jul,Amsterdam to Bangkok via Hong Kong,Business Class,5,5,5,5,1,4,no
S Kan,7/2/2017,Cathay Pacific Airways,TRUE,Family Leisure,17-May,Seoul Incheon to Hong Kong,Economy Class,5,4,4,5,4,6,no
R Datta,7/2/2017,Cathay Pacific Airways,FALSE,Business,17-Jun,London to Hong Kong,Business Class,3,5,5,5,5,10,yes
S Mellins,6/15/2017,Cathay Pacific Airways,FALSE,Business,17-May,Vancouver to Hong Kong,Business Class,3,2,5,5,3,6,yes
Rashi Kohli,6/12/2017,Cathay Pacific Airways,TRUE,Couple Leisure,17-May,Mumbai to Hong Kong,Economy Class,4,1,4,5,2,4,no
S Kay,6/10/2017,Cathay Pacific Airways,FALSE,Family Leisure,17-May,Hong Kong to Incheon,Economy Class,1,5,2,3,4,9,yes
C Baker,6/10/2017,Cathay Pacific Airways,TRUE,Solo Leisure,17-May,Vancouver to Hong Kong,Premium Economy,5,5,3,4,4,9,yes
C Baker,6/10/2017,Cathay Pacific Airways,FALSE,Solo Leisure,17-May,Hong Kong to Vancouver,Premium Economy,5,4,5,3,5,10,yes
Nicholas Constantine,6/8/2017,Cathay Pacific Airways,FALSE,Family Leisure,17-Apr,Chicago to Bangkok via Hong Kong,Economy Class,5,4,5,5,5,10,yes
Peter Pomeranze,6/7/2017,Cathay Pacific Airways,FALSE,Business,17-Jun,Hong Kong to Taipei,Business Class,2,4,5,5,4,8,yes
A Wong,6/3/2017,Cathay Pacific Airways,FALSE,Business,17-May,Hong Kong to Beijing,Business Class,2,5,3,5,4,8,yes
A Wong,6/3/2017,Cathay Pacific Airways,TRUE,Business,17-May,London to Hong Kong,Business Class,5,4,4,4,5,10,yes
A Wong,6/3/2017,Cathay Pacific Airways,FALSE,Business,17-Apr,Beijing to Hong Kong,Business Class,5,5,4,4,4,9,yes
A Wong,6/3/2017,Cathay Pacific Airways,FALSE,Business,17-Apr,Hong Kong to London,Business Class,3,5,4,4,4,9,yes
T Huang,6/1/2017,Cathay Pacific Airways,FALSE,Solo Leisure,17-May,New York to Hanoi via Hong Kong,Economy Class,5,4,5,5,2,5,no
C Lai,5/30/2017,Cathay Pacific Airways,TRUE,Family Leisure,17-May,Hong Kong to Incheon,Economy Class,4,5,1,3,4,8,yes
Michael Mejia,5/27/2017,Cathay Pacific Airways,TRUE,Family Leisure,17-May,Manila to Newark via Hong Kong,Economy Class,5,4,3,4,4,7,yes
B Roper,5/26/2017,Cathay Pacific Airways,FALSE,Couple Leisure,17-May,Hong Kong to London,Economy Class,4,5,4,4,1,1,no
W Pataporn,5/25/2017,Cathay Pacific Airways,TRUE,Solo Leisure,17-May,Bangkok to Vancouver via Hong Kong,Business Class,5,5,3,5,5,10,yes
Trang Doan,5/24/2017,Cathay Pacific Airways,TRUE,Solo Leisure,17-May,Ho Chi Minh City to LAX via Hong Kong,Economy Class,4,4,3,4,5,9,yes
W Patavik,5/19/2017,Cathay Pacific Airways,TRUE,Solo Leisure,17-May,Vancouver to Bangkok via Hong Kong,Business Class,4,2,3,4,5,10,yes
Jeffrey Tannenbaum,5/15/2017,Cathay Pacific Airways,FALSE,Couple Leisure,17-Mar,Taipei to Hong Kong,Business Class,5,5,4,4,1,2,yes
Uchit Vohra,5/15/2017,Cathay Pacific Airways,TRUE,Business,17-May,Hong Kong to Bangalore,Economy Class,4,5,3,4,3,4,no
C Fassila,5/9/2017,Cathay Pacific Airways,TRUE,Family Leisure,17-May,Cebu to Hong Kong,Economy Class,5,5,5,4,5,8,yes
Filippo Bertoni,5/7/2017,Cathay Pacific Airways,FALSE,Business,17-May,Singapore to Hong Kong,Economy Class,5,4,4,4,4,9,yes
P Johnson,5/7/2017,Cathay Pacific Airways,FALSE,Solo Leisure,17-Apr,Jakarta to New York JFK via Hong Kong,Economy Class,4,5,4,4,1,3,no
B Lee,5/2/2017,Cathay Pacific Airways,TRUE,Solo Leisure,16-Dec,Hong Kong to Heathrow,First Class,2,5,4,5,4,7,yes
B Lee,5/2/2017,Cathay Pacific Airways,FALSE,Solo Leisure,16-Dec,Heathrow to Hong Kong,First Class,4,5,4,5,4,7,yes
Tony Spitale,5/1/2017,Cathay Pacific Airways,FALSE,Solo Leisure,17-Apr,Zürich to New York via Hong Kong,Economy Class,5,5,3,4,5,10,yes
W Lanner,5/1/2017,Cathay Pacific Airways,TRUE,Couple Leisure,17-Apr,Hong Kong to London Gatwick,Premium Economy,5,3,5,3,5,9,yes
Lisa Gibney,4/30/2017,Cathay Pacific Airways,FALSE,Family Leisure,17-Apr,New York to Shanghai via Hong Kong,Premium Economy,5,4,5,1,4,10,yes
N Marston,4/27/2017,Cathay Pacific Airways,FALSE,Couple Leisure,17-Apr,Dubai to Brisbane via Hong Kong,Business Class,3,4,5,1,4,9,yes
G Nairn,4/26/2017,Cathay Pacific Airways,FALSE,Solo Leisure,17-Apr,London to Hong Kong,Economy Class,5,5,2,5,5,8,yes
G Nairn,4/26/2017,Cathay Pacific Airways,TRUE,Solo Leisure,17-Mar,Auckland to Hong Kong,Economy Class,4,5,5,4,5,9,yes
Linda Vernel,4/23/2017,Cathay Pacific Airways,TRUE,Couple Leisure,17-Apr,Hong Kong to Sydney,Premium Economy,4,5,3,3,4,7,yes
Lorcan Fallon,4/23/2017,Cathay Pacific Airways,FALSE,Family Leisure,17-Mar,Dubai to Hong Kong,Economy Class,4,4,5,2,5,10,yes
S Howard,4/21/2017,Cathay Pacific Airways,FALSE,Solo Leisure,17-Jan,Manila to Gatwick via Hong Kong,Business Class,2,5,3,4,5,10,yes
Michael Mejia,4/15/2017,Cathay Pacific Airways,TRUE,Business,17-Apr,MNL to ORD via HKG,Business Class,2,5,2,1,4,8,yes
D Lear,3/28/2017,Cathay Pacific Airways,FALSE,Business,17-Mar,New York to Hong Kong,Economy Class,3,5,4,1,3,5,no
T Patakorn,3/26/2017,Cathay Pacific Airways,TRUE,Solo Leisure,17-Mar,Bangkok to Vancouver via Hong Kong,Premium Economy,5,5,3,3,5,10,yes
R Sanyal,3/22/2017,Cathay Pacific Airways,FALSE,Solo Leisure,17-Mar,Kolkata to New York via Hong Kong,Business Class,4,3,4,5,4,8,yes
T Patapong,3/21/2017,Cathay Pacific Airways,TRUE,Family Leisure,17-Mar,Seoul to Bangkok via Hong Kong,Economy Class,5,5,4,5,5,10,yes
Steve Nas,3/20/2017,Cathay Pacific Airways,TRUE,Business,17-Mar,Hong Kong to Cebu,Economy Class,1,3,5,4,5,8,yes
W Patakorn,3/20/2017,Cathay Pacific Airways,FALSE,Family Leisure,17-Mar,Bangkok to Seoul via Hong Kong,Economy Class,5,5,4,4,5,9,yes
W Pearson,3/13/2017,Cathay Pacific Airways,FALSE,Solo Leisure,17-Mar,Vancouver to Bangkok via Hong Kong,Economy Class,4,5,3,2,4,7,yes
John Rolfe,3/11/2017,Cathay Pacific Airways,TRUE,Couple Leisure,17-Feb,London to Adelaide via Hong Kong,Business Class,5,5,5,5,4,8,yes
John Rolfe ,3/11/2017,Cathay Pacific Airways,TRUE,Couple Leisure,17-Mar,Sydney to London via Hong Kong,Business Class,5,5,5,5,4,8,yes
T Yang,3/10/2017,Cathay Pacific Airways,TRUE,Solo Leisure,17-Mar,Taipei to Hong Kong,Economy Class,4,4,5,5,1,2,no
Jean Barker,3/6/2017,Cathay Pacific Airways,FALSE,Couple Leisure,17-Feb,Paris to Sydney via Hong Kong,Economy Class,5,4,5,5,3,6,yes
Lin Khoo,3/1/2017,Cathay Pacific Airways,TRUE,Family Leisure,16-Dec,Penang to Shanghai via Hong Kong,Economy Class,3,4,5,4,4,7,yes
C Bailey,3/1/2017,Cathay Pacific Airways,TRUE,Solo Leisure,17-Feb,Tokyo to Hong Kong,Business Class,5,5,3,4,5,9,yes
C Bailey,3/1/2017,Cathay Pacific Airways,FALSE,Solo Leisure,17-Feb,Hong Kong to Vancouver,Premium Economy,4,3,2,5,4,9,yes
C Bailey,2/27/2017,Cathay Pacific Airways,FALSE,Solo Leisure,17-Feb,Vancouver to Hong Kong,Premium Economy,5,2,1,5,4,9,yes
Martyn Nightingale,2/26/2017,Cathay Pacific Airways,FALSE,Solo Leisure,17-Feb,Tokyo Narita to Hong Kong,Economy Class,4,5,5,5,3,6,yes
L Foster,2/23/2017,Cathay Pacific Airways,TRUE,Family Leisure,16-Nov,Manila to Hong Kong,Premium Economy,4,5,1,5,4,9,yes
G Genala,2/20/2017,Cathay Pacific Airways,TRUE,Solo Leisure,17-Jan,Hong Kong to London,Economy Class,4,5,3,4,4,9,yes
I Francis,2/14/2017,Cathay Pacific Airways,FALSE,Family Leisure,17-Feb,Jakarta to Hong Kong,Premium Economy,3,5,1,4,5,9,yes
S Howard,2/12/2017,Cathay Pacific Airways,TRUE,Solo Leisure,16-Dec,London to Manila via Hong Kong,Business Class,5,5,4,1,5,10,yes
A Wong,2/6/2017,Cathay Pacific Airways,TRUE,Solo Leisure,17-Jan,Beijing to Hong Kong,Business Class,2,5,2,4,3,8,yes
Catherine Double,2/6/2017,Cathay Pacific Airways,FALSE,Solo Leisure,17-Jan,Auckland to London via Hong Kong,Business Class,1,5,1,5,4,9,yes
John Drew,2/6/2017,Cathay Pacific Airways,TRUE,Couple Leisure,17-Jan,Hong Kong to Singapore,First Class,4,5,3,3,1,1,no
Anthony Llewellyn-Evans,2/5/2017,Cathay Pacific Airways,TRUE,Couple Leisure,16-Dec,Sydney to London via Hong Kong,Economy Class,3,5,4,4,3,8,yes
S Vincent,2/4/2017,Cathay Pacific Airways,TRUE,Couple Leisure,17-Feb,PVG to HKG,Economy Class,4,5,4,3,5,10,yes
Y Carter,2/4/2017,Cathay Pacific Airways,FALSE,Family Leisure,17-Jan,KUL to HKG,Economy Class,4,5,4,4,5,10,yes
Mark Landingin,1/31/2017,Cathay Pacific Airways,TRUE,Solo Leisure,17-Jan,BAH to MNL via HKG,Economy Class,5,5,4,4,5,10,yes
T Gorton,1/30/2017,Cathay Pacific Airways,TRUE,Couple Leisure,17-Jan,Auckland to London via Hong Kong,Premium Economy,5,3,3,4,4,7,no
C Larremo,1/27/2017,Cathay Pacific Airways,TRUE,Family Leisure,16-Dec,Mumbai to Danang via Hong Kong,Business Class,4,3,5,3,1,1,no
Dafi Adinegoro,1/25/2017,Cathay Pacific Airways,FALSE,Family Leisure,17-Jan,CGK to PEK via HKG,Economy Class,5,1,4,3,5,9,yes
P Rubenstein,1/23/2017,Cathay Pacific Airways,TRUE,Solo Leisure,17-Jan,BKK to HKG,Business Class,5,5,5,4,3,8,yes
H Chung,1/14/2017,Cathay Pacific Airways,FALSE,Solo Leisure,16-Dec,BKK to HKG,Economy Class,5,3,5,2,4,10,yes
A Drew,1/13/2017,Cathay Pacific Airways,TRUE,Family Leisure,16-Dec,MNL to YVR via HKG,Premium Economy,5,4,2,3,3,5,yes
Richard Clarke,1/13/2017,Cathay Pacific Airways,FALSE,Solo Leisure,17-Jan,CEB to HKG,Business Class,3,1,3,4,3,3,no
Anil Bathija,1/13/2017,Cathay Pacific Airways,TRUE,Family Leisure,17-Jan,YYZ to BOM via HKG,Economy Class,5,4,4,5,5,10,yes
P Calizan,1/12/2017,Cathay Pacific Airways,FALSE,Family Leisure,16-Nov,JFK to MNL via HKG,Economy Class,3,1,5,4,1,1,no
D Steminie,1/10/2017,Cathay Pacific Airways,FALSE,Solo Leisure,16-Dec,CDG to BKK via HKG,Economy Class,1,2,5,5,4,8,yes
M Jachela,1/9/2017,Cathay Pacific Airways,TRUE,Couple Leisure,17-Jan,MNL to HKG,Business Class,4,4,5,4,3,9,yes
C Tan,1/5/2017,Cathay Pacific Airways,FALSE,Business,16-Dec,HKG to CDG,First Class,4,5,4,4,3,9,yes
C Tan,1/5/2017,Cathay Pacific Airways,FALSE,Solo Leisure,16-Dec,HKG to BKK,Business Class,4,4,4,5,3,9,yes
T Anderson,1/4/2017,Cathay Pacific Airways,FALSE,Solo Leisure,17-Jan,CGK to YYZ via HKG,Business Class,1,5,4,3,4,9,yes
W Pearce,1/3/2017,Cathay Pacific Airways,TRUE,Solo Leisure,17-Jan,BKK to YVR via HKG,Economy Class,4,5,1,3,4,10,yes
D Glazer,1/3/2017,Cathay Pacific Airways,TRUE,Business,16-Dec,AKL to MXP via HKG,Business Class,3,3,4,5,5,10,yes
D Glazer,1/3/2017,Cathay Pacific Airways,FALSE,Business,16-Dec,MXP to AKL via HKG,Business Class,1,5,5,3,5,10,yes
C Li,1/2/2017,Cathay Pacific Airways,FALSE,Solo Leisure,16-Jun,BNE to HKG,Business Class,3,2,3,4,5,10,yes
S Johnson,1/2/2017,Cathay Pacific Airways,FALSE,Solo Leisure,16-Dec,AKL to MNL via HKG,Economy Class,5,5,4,4,4,7,yes
Stefan Oelze,1/1/2017,Cathay Pacific Airways,FALSE,Business,16-Dec,DUS to HKG,Business Class,5,5,1,3,5,7,yes
C Yang,12/30/2016,Cathay Pacific Airways,TRUE,Family Leisure,16-Dec,HKG to TPE,Economy Class,5,3,4,4,1,2,no
Jean Tanner,12/23/2016,Cathay Pacific Airways,FALSE,Business,16-Dec,ICN to HKG,Economy Class,5,3,4,5,1,1,no
W Patakun,12/18/2016,Cathay Pacific Airways,TRUE,Solo Leisure,16-Dec,YVR to BKK via HKG,Economy Class,1,4,5,4,4,7,yes
Richard Clarke,12/17/2016,Cathay Pacific Airways,TRUE,Solo Leisure,16-Dec,BA to CEB via HKG,Business Class,4,5,3,3,3,7,yes
A Wong,12/16/2016,Cathay Pacific Airways,TRUE,Solo Leisure,16-Dec,HKG to PEK,Business Class,2,5,3,3,3,4,yes
K Lam,12/14/2016,Cathay Pacific Airways,FALSE,Family Leisure,16-Dec,HKG to MEL,Economy Class,5,5,5,5,1,2,no
Natalie Tan,12/13/2016,Cathay Pacific Airways,TRUE,Solo Leisure,16-Dec,SIN to HKG,Premium Economy,5,5,4,5,3,5,no
N Kathoramash,12/13/2016,Cathay Pacific Airways,TRUE,Family Leisure,16-Dec,MEL to NRT via HKG,Economy Class,5,4,2,5,1,2,no
E Tammilen,12/12/2016,Cathay Pacific Airways,FALSE,Business,16-Dec,TPE to DEL via HKG,Economy Class,3,1,5,4,1,2,no
V Quee,12/8/2016,Cathay Pacific Airways,TRUE,Business,16-Nov,SHA to HKG,Business Class,4,4,2,3,5,9,yes
Vincent Chan,11/27/2016,Cathay Pacific Airways,TRUE,Solo Leisure,16-Nov,YVR to HKG,Premium Economy,4,5,5,4,4,9,yes
Alan Wan,11/26/2016,Cathay Pacific Airways,TRUE,Couple Leisure,16-Nov,HKG to SIN,Business Class,5,4,4,2,5,10,yes
P Barker,11/25/2016,Cathay Pacific Airways,FALSE,Solo Leisure,16-Jul,JFK to PEK via HKG,First Class,4,5,3,4,4,9,yes
Martin Hill,11/24/2016,Cathay Pacific Airways,TRUE,Solo Leisure,16-Nov,LHR to BNE via HKG,Economy Class,4,4,4,4,2,2,no
Kailash Soma,11/16/2016,Cathay Pacific Airways,TRUE,Family Leisure,16-Nov,SFO to HYD via HKG,Economy Class,1,4,5,4,1,1,no
T Patawot,11/14/2016,Cathay Pacific Airways,FALSE,Solo Leisure,16-Sep,BKK to YVR via HKG,Economy Class,4,5,4,5,5,9,yes
S Das,11/14/2016,Cathay Pacific Airways,FALSE,Family Leisure,16-Oct,HKG to DPS,Economy Class,5,3,5,3,5,10,yes
J Revington,11/13/2016,Cathay Pacific Airways,FALSE,Couple Leisure,16-Nov,MAN to MEL via HKG,Business Class,4,3,5,4,4,7,yes
S Linnell,11/11/2016,Cathay Pacific Airways,FALSE,Solo Leisure,16-Nov,SYD to MAD via HKG,Premium Economy,5,4,3,3,2,6,yes
A Wong,11/11/2016,Cathay Pacific Airways,TRUE,Business,16-Oct,HKG to LHR,Business Class,2,5,4,3,3,7,yes
T Rowe,11/2/2016,Cathay Pacific Airways,FALSE,Solo Leisure,16-Jul,HKG to LGW,Business Class,3,3,1,5,4,9,yes
Leo Reuter,11/1/2016,Cathay Pacific Airways,TRUE,Business,16-Sep,SIN to HKG,Economy Class,4,4,5,4,5,10,yes
Richard Berry,10/28/2016,Cathay Pacific Airways,FALSE,Solo Leisure,16-Oct,LHR to BNE via HKG,Premium Economy,5,5,5,5,5,9,yes
Chohong Choi,10/24/2016,Cathay Pacific Airways,FALSE,Solo Leisure,16-Oct,HKG to KUL,Economy Class,2,4,5,5,4,9,yes
Melanie Pemberton,10/23/2016,Cathay Pacific Airways,FALSE,Couple Leisure,16-Oct,MAN to SYD via HKG,Economy Class,2,5,4,4,3,9,yes
V Naidoo,10/22/2016,Cathay Pacific Airways,TRUE,Business,16-Oct,MEL to HKG,Premium Economy,4,5,2,4,3,7,yes
Yifan Chen,10/18/2016,Cathay Pacific Airways,FALSE,Solo Leisure,16-May,YVR to JFK,Premium Economy,4,5,5,5,5,10,yes
C Matthews,10/15/2016,Cathay Pacific Airways,TRUE,Solo Leisure,16-Oct,LHR to HKG,Premium Economy,4,4,5,3,1,5,yes
S Howard,10/13/2016,Cathay Pacific Airways,TRUE,Solo Leisure,16-Sep,MNL to LGW via HKG,Business Class,2,5,4,5,5,10,yes
Victor Sun,10/11/2016,Cathay Pacific Airways,TRUE,Solo Leisure,16-Aug,HKG to NRT,Economy Class,5,5,4,5,3,5,no
Victor Sun,10/11/2016,Cathay Pacific Airways,FALSE,Solo Leisure,16-Sep,KIX to HKG,Economy Class,5,5,3,4,4,8,yes
C Matthews,10/10/2016,Cathay Pacific Airways,FALSE,Solo Leisure,16-Oct,HKG to LHR,Premium Economy,4,5,2,5,2,7,yes
Anand Radhakrishnan,10/3/2016,Cathay Pacific Airways,FALSE,Family Leisure,16-Oct,HYD to MEL via HKG,Economy Class,4,5,1,5,1,1,no
K Ananth,10/2/2016,Cathay Pacific Airways,FALSE,Solo Leisure,16-Aug,HYD to SYD via HKG,Economy Class,5,5,4,5,5,9,yes
Tony Spitale,9/26/2016,Cathay Pacific Airways,FALSE,Solo Leisure,16-Sep,HKG to DUS,Business Class,5,3,4,4,5,10,yes
Peng Xie,9/25/2016,Cathay Pacific Airways,TRUE,Family Leisure,16-Sep,HKG to ICN,Business Class,2,5,1,2,3,7,yes
Peng Xie,9/24/2016,Cathay Pacific Airways,FALSE,Family Leisure,16-Sep,ICN to HKG,Business Class,4,5,5,1,4,9,yes
A Wong,9/24/2016,Cathay Pacific Airways,TRUE,Business,16-Sep,LHR to HKG,Business Class,5,4,5,1,4,8,yes
A Wong,9/24/2016,Cathay Pacific Airways,TRUE,Solo Leisure,16-Sep,HKG to PEK,Business Class,5,5,4,4,3,7,yes
S Leventis,9/23/2016,Cathay Pacific Airways,FALSE,Solo Leisure,15-Dec,CDG to SYD via HKG,Economy Class,4,2,5,5,4,9,yes
B Channer,9/20/2016,Cathay Pacific Airways,TRUE,Business,16-Sep,HKG to DUS,Business Class,4,3,5,5,3,6,yes
S Howard,9/19/2016,Cathay Pacific Airways,FALSE,Solo Leisure,16-Sep,LGW to MNL via HKG,Business Class,3,1,3,2,5,10,yes
S Livenkyo,9/14/2016,Cathay Pacific Airways,FALSE,Couple Leisure,16-Sep,PEK to SYD,Economy Class,4,3,2,3,5,9,yes
R Datta,9/10/2016,Cathay Pacific Airways,FALSE,Business,16-Jul,HKG to LHR,Business Class,5,3,5,5,5,10,yes
G Biggins,9/10/2016,Cathay Pacific Airways,FALSE,Couple Leisure,16-Aug,MAN to SYD to HKG,Economy Class,3,3,5,5,3,2,no
Harry Lai,8/29/2016,Cathay Pacific Airways,TRUE,Solo Leisure,16-Aug,ADL to HKG,Economy Class,3,3,5,3,5,10,yes
Sam Mandrino,8/25/2016,Cathay Pacific Airways,TRUE,Solo Leisure,16-Aug,MXP to AKL via HKG,Economy Class,5,4,5,3,5,10,yes
Jan Fernando,8/19/2016,Cathay Pacific Airways,FALSE,Family Leisure,16-Aug,MEL to CMB via HKG,Economy Class,4,5,5,3,5,8,yes
Mark Landingin,8/8/2016,Cathay Pacific Airways,TRUE,Solo Leisure,16-Jun,MNL to BAH,Economy Class,2,4,5,3,5,10,yes
P Wipatavit,8/4/2016,Cathay Pacific Airways,TRUE,Solo Leisure,16-Jul,YYZ to BKK via HKG,Economy Class,4,5,4,5,4,9,yes
Sam Dunika,8/1/2016,Cathay Pacific Airways,TRUE,Family Leisure,16-Jul,HKG to BOM,Economy Class,4,2,2,5,3,6,no
Liz Stainer,7/26/2016,Cathay Pacific Airways,FALSE,Couple Leisure,16-Jul,MEL to MAD via HKG,Premium Economy,5,5,1,5,2,5,no
R Coltman,7/18/2016,Cathay Pacific Airways,TRUE,Business,16-Jul,KUL to LHR via HKG,Business Class,5,4,1,4,2,4,no
Matthew Lee,7/14/2016,Cathay Pacific Airways,TRUE,Solo Leisure,16-Jun,HKG to TPE,Economy Class,5,5,5,4,2,2,no
V Davids,7/10/2016,Cathay Pacific Airways,TRUE,Solo Leisure,16-Apr,Xi'an to MXP via HKG,Economy Class,4,4,4,4,5,8,yes
Stacey Winters,7/9/2016,Cathay Pacific Airways,TRUE,Solo Leisure,16-Jul,MEL to LHR via HKG,Economy Class,2,5,2,4,3,5,yes
W Joyce,7/6/2016,Cathay Pacific Airways,TRUE,Solo Leisure,16-Jul,ADL to HKG,Business Class,3,4,1,4,3,9,yes
V Anderson,6/29/2016,Cathay Pacific Airways,FALSE,Business,16-Jun,BKK to HKG,Economy Class,5,5,4,3,2,3,no
S Magine,6/29/2016,Cathay Pacific Airways,TRUE,Solo Leisure,16-Jun,MNL to AKL via HKG,Economy Class,5,1,3,3,5,9,yes
T Denton,6/28/2016,Cathay Pacific Airways,TRUE,Family Leisure,16-Jun,CGK to LAX via HKG,Business Class,4,4,4,5,5,10,yes
P Wipatavit,6/24/2016,Cathay Pacific Airways,FALSE,Solo Leisure,16-Jun,HKG to JFK via YVR,Economy Class,4,5,5,5,5,9,yes
T Rivell,6/23/2016,Cathay Pacific Airways,TRUE,Solo Leisure,16-Jun,YYZ to HKG,Business Class,3,2,2,3,5,10,yes
